Nombre del SO	Microsoft Windows 10 Pro
Versión	10.0.19045 compilación 19045
Descripción adicional del SO 	No disponible
Fabricante del SO	Microsoft Corporation
Nombre del sistema	BRANDON-PC
Fabricante del sistema	Hewlett-Packard
Modelo del sistema	HP 1000 Notebook PC
Tipo de sistema	PC basado en x64
SKU del sistema	B8T42LA#ABM
Procesador	Intel(R) Core(TM) i3-2328M CPU @ 2.20GHz, 2200 Mhz, 2 procesadores principales, 4 procesadores lógicos
Versión y fecha de BIOS	Insyde F.22, 25/10/2012
Versión de SMBIOS	2.7
Versión de controladora integrada	100.34
Modo de BIOS	Heredado
Fabricante de la placa base	Hewlett-Packard
Producto de placa base	1854
Versión de la placa base	64.22
Rol de plataforma	Móvil
Estado de arranque seguro	No compatible
Configuración de PCR7	Enlace no posible
Directorio de Windows	C:\WINDOWS
Directorio del sistema	C:\WINDOWS\system32
Dispositivo de arranque	\Device\HarddiskVolume1
Configuración regional	México
Capa de abstracción de hardware	Versión = "10.0.19041.2251"
Nombre de usuario	BRANDON-PC\Brandon
Zona horaria	Hora estándar central (México)
Memoria física instalada (RAM)	4,00 GB
Memoria física total	3,90 GB
Memoria física disponible	601 MB
Memoria virtual total	7,90 GB
Memoria virtual disponible	3,65 GB
Espacio de archivo de paginación	4,00 GB
Archivo de paginación	C:\pagefile.sys
Protección de DMA de kernel	Desactivada
Seguridad basada en virtualización	No habilitado
Compatibilidad con cifrado de dispositivo	Razones del error de cifrado automático del dispositivo: No se puede usar TPM, No se admite el enlace PCR7, Error en la interfaz de prueba de seguridad de hardware. El dispositivo no está en modo de espera moderno., Se detectó un bus o un dispositivo compatible con DMA que no se permite., No se puede usar TPM
Hyper-V - Extensiones de modo de monitor VM	Sí
Hyper-V - Extensiones de traducción de dirección de segundo nivel	Sí
Hyper-V - Virtualización habilitada en Firmware	Sí
Hyper-V -Protección de ejecución de datos	Sí
